idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
49,98,554,291,429,193,-125,229.94347131414713,147.07014548938793,2,194.5,491.5,-1,0.18994140625,0.8401709401709402
50,221,441,325,383,104,-58,119.07980517283357,150.85192815428695,2,273.0,412.0,-1,0.2666015625,0.7042735042735043
51,356,367,703,367,347,0,347.0,0.0,0,529.5,367.0,-1,0.51708984375,0.6273504273504273
52,515,556,528,362,13,-194,194.4350791395421,93.83367653708808,2,521.5,459.0,-1,0.50927734375,0.7846153846153846
53,818,557,937,559,119,2,119.01680553602503,0.9628636256362129,0,877.5,558.0,-1,0.85693359375,0.9538461538461539
54,484,425,800,425,316,0,316.0,0.0,0,642.0,425.0,-1,0.626953125,0.7264957264957265
55,628,525,733,524,105,-1,105.00476179678711,179.4543424065843,0,680.5,524.5,-1,0.66455078125,0.8965811965811966
56,432,422,795,422,363,0,363.0,0.0,0,613.5,422.0,-1,0.59912109375,0.7213675213675214
57,237,555,286,555,49,0,49.0,0.0,0,261.5,555.0,-1,0.25537109375,0.9487179487179487
58,360,428,663,428,303,0,303.0,0.0,0,511.5,428.0,-1,0.49951171875,0.7316239316239316
59,378,353,545,350,167,-3,167.0269439342048,178.970845195694,0,461.5,351.5,-1,0.45068359375,0.6008547008547008
60,899,492,1017,563,118,71,137.71347065556077,31.035108649002684,1,958.0,527.5,-1,0.935546875,0.9017094017094017
61,94,554,158,553,64,-1,64.00781202322104,179.10482628978892,0,126.0,553.5,-1,0.123046875,0.9461538461538461
62,447,419,638,419,191,0,191.0,0.0,0,542.5,419.0,-1,0.52978515625,0.7162393162393162
63,15,552,126,491,111,-61,126.65701717630967,151.20902492780797,2,70.5,521.5,-1,0.06884765625,0.8914529914529915
64,354,368,588,368,234,0,234.0,0.0,0,471.0,368.0,-1,0.4599609375,0.629059829059829
65,358,366,701,366,343,0,343.0,0.0,0,529.5,366.0,-1,0.51708984375,0.6256410256410256
66,842,486,895,523,53,37,64.63745044476924,34.91940201245768,1,868.5,504.5,-1,0.84814453125,0.8623931623931624
67,502,522,590,521,88,-1,88.0056816347672,179.3489396197705,0,546.0,521.5,-1,0.533203125,0.8914529914529915
68,512,358,683,355,171,-3,171.0263137648707,178.99491399474581,0,597.5,356.5,-1,0.58349609375,0.6094017094017095
69,518,559,536,351,18,-208,208.7773934122179,94.94596654710416,2,527.0,455.0,-1,0.5146484375,0.7777777777777778
70,643,346,763,430,120,84,146.47866738880444,34.99202019855866,1,703.0,388.0,-1,0.6865234375,0.6632478632478632
