idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
48,763,522,819,521,56,-1,56.00892785976178,178.97696981133217,0,791.0,521.5,-1,0.7724609375,0.8914529914529915
49,651,348,861,500,210,152,259.2373429890069,35.897377511708086,1,756.0,424.0,-1,0.73828125,0.7247863247863248
50,624,424,793,421,169,-3,169.0266251216062,178.98302196928083,0,708.5,422.5,-1,0.69189453125,0.7222222222222222
51,152,554,189,554,37,0,37.0,0.0,0,170.5,554.0,-1,0.16650390625,0.947008547008547
52,19,550,133,556,114,6,114.15778554264269,3.0127875041833403,0,76.0,553.0,-1,0.07421875,0.9452991452991453
53,500,369,618,365,118,-4,118.06777714516353,178.05851360908562,0,559.0,367.0,-1,0.5458984375,0.6273504273504273
54,476,523,563,522,87,-1,87.00574693662483,179.34145682243638,0,519.5,522.5,-1,0.50732421875,0.8931623931623932
55,198,456,395,351,197,-105,223.23530186778254,151.94261076590908,2,296.5,403.5,-1,0.28955078125,0.6897435897435897
56,497,350,568,349,71,-1,71.00704190430693,179.19307054489764,0,532.5,349.5,-1,0.52001953125,0.5974358974358974
57,553,424,692,426,139,2,139.01438774457844,0.824342820845153,0,622.5,425.0,-1,0.60791015625,0.7264957264957265
58,817,558,902,557,85,-1,85.00588214941364,179.3259631020155,0,859.5,557.5,-1,0.83935546875,0.9529914529914529
59,615,525,665,524,50,-1,50.00999900019995,178.8542371618249,0,640.0,524.5,-1,0.625,0.8965811965811966
60,290,557,346,557,56,0,56.0,0.0,0,318.0,557.0,-1,0.310546875,0.9521367521367521
61,519,561,533,355,14,-206,206.47518010647187,93.88790956083308,2,526.0,458.0,-1,0.513671875,0.7829059829059829
62,537,525,614,523,77,-2,77.02596964660685,178.5121324711722,0,575.5,524.0,-1,0.56201171875,0.8957264957264958
63,667,348,831,447,164,99,191.56461051039673,31.117639186726453,1,749.0,397.5,-1,0.7314453125,0.6794871794871795
64,289,403,327,405,38,2,38.05259518088089,3.0127875041833403,0,308.0,404.0,-1,0.30078125,0.6905982905982906
65,90,555,180,499,90,-56,106.0,148.1092081981543,2,135.0,527.0,-1,0.1318359375,0.9008547008547009
66,982,534,1019,556,37,22,43.04648650006177,30.7354877019201,1,1000.5,545.0,-1,0.97705078125,0.9316239316239316
67,515,361,576,355,61,-6,61.29437168288782,174.38241940987317,0,545.5,358.0,-1,0.53271484375,0.611965811965812
68,586,418,637,421,51,3,51.088159097779204,3.3664606634298013,0,611.5,419.5,-1,0.59716796875,0.7170940170940171
69,614,348,669,348,55,0,55.0,0.0,0,641.5,348.0,-1,0.62646484375,0.5948717948717949
70,889,523,952,522,63,-1,63.00793600809346,179.09061955080085,0,920.5,522.5,-1,0.89892578125,0.8931623931623932
71,673,349,846,453,173,104,201.8539075668341,31.012436027168484,1,759.5,401.0,-1,0.74169921875,0.6854700854700855
72,866,520,934,519,68,-1,68.00735254367721,179.15747573925958,0,900.0,519.5,-1,0.87890625,0.888034188034188
73,251,425,335,424,84,-1,84.00595217006948,179.31793960682734,0,293.0,424.5,-1,0.2861328125,0.7256410256410256
74,108,551,149,553,41,2,41.048751503547585,2.792702365713283,0,128.5,552.0,-1,0.12548828125,0.9435897435897436
75,681,356,802,429,121,73,141.315250415516,31.102823684984642,1,741.5,392.5,-1,0.72412109375,0.6709401709401709
