idx,x1,y1,x2,y2,dx,dy,len,angle_deg,label,mid_x,mid_y,roi_overlap,norm_x,norm_y
48,536,526,580,525,44,-1,44.01136216933077,178.69804732742114,0,558.0,525.5,-1,0.544921875,0.8982905982905983
49,779,419,840,456,61,37,71.34423592694787,31.23921488820876,1,809.5,437.5,-1,0.79052734375,0.7478632478632479
50,444,372,688,363,244,-9,244.16592718886884,177.8875887297709,0,566.0,367.5,-1,0.552734375,0.6282051282051282
51,293,559,333,560,40,1,40.01249804748511,1.4320961841646465,0,313.0,559.5,-1,0.3056640625,0.9564102564102565
52,142,515,389,361,247,-154,291.0755915565577,148.05721230180498,2,265.5,438.0,-1,0.25927734375,0.7487179487179487
53,449,351,609,351,160,0,160.0,0.0,0,529.0,351.0,-1,0.5166015625,0.6
54,18,550,142,550,124,0,124.0,0.0,0,80.0,550.0,-1,0.078125,0.9401709401709402
55,899,492,1017,563,118,71,137.71347065556077,31.035108649002684,1,958.0,527.5,-1,0.935546875,0.9017094017094017
56,518,504,526,360,8,-144,144.22205101855957,93.17983011986423,2,522.0,432.0,-1,0.509765625,0.7384615384615385
57,107,548,196,490,89,-58,106.23088063270491,146.90830006131756,2,151.5,519.0,-1,0.14794921875,0.8871794871794871
58,777,557,818,557,41,0,41.0,0.0,0,797.5,557.0,-1,0.77880859375,0.9521367521367521
59,506,358,547,358,41,0,41.0,0.0,0,526.5,358.0,-1,0.51416015625,0.611965811965812
60,269,310,293,406,24,96,98.95453501482385,75.96375653207353,1,281.0,358.0,-1,0.2744140625,0.611965811965812
61,330,382,377,355,47,-27,54.20332093147061,150.12400730831058,2,353.5,368.5,-1,0.34521484375,0.6299145299145299
62,522,549,535,350,13,-199,199.42417105255822,93.73762954341011,2,528.5,449.5,-1,0.51611328125,0.7683760683760684
63,524,494,530,401,6,-93,93.1933474020544,93.69138598645127,2,527.0,447.5,-1,0.5146484375,0.7649572649572649
64,107,515,195,516,88,1,88.0056816347672,0.6510603802294862,0,151.0,515.5,-1,0.1474609375,0.8811965811965812
65,381,352,474,382,93,30,97.71898484941399,17.87869659584134,0,427.5,367.0,-1,0.41748046875,0.6273504273504273
66,585,418,638,420,53,2,53.03772242470448,2.1610794882263713,0,611.5,419.0,-1,0.59716796875,0.7162393162393162
67,563,346,671,346,108,0,108.0,0.0,0,617.0,346.0,-1,0.6025390625,0.5914529914529915
68,360,428,663,428,303,0,303.0,0.0,0,511.5,428.0,-1,0.49951171875,0.7316239316239316
69,911,524,965,525,54,1,54.00925846556311,1.0609116902642277,0,938.0,524.5,-1,0.916015625,0.8965811965811966
70,252,293,280,408,28,115,118.35962149314267,76.3159802477525,1,266.0,350.5,-1,0.259765625,0.5991452991452991
71,834,557,900,554,66,-3,66.06814663663572,177.3974377975002,0,867.0,555.5,-1,0.8466796875,0.9495726495726495
72,819,578,899,576,80,-2,80.02499609497022,178.56790381583536,0,859.0,577.0,-1,0.8388671875,0.9863247863247864
73,941,556,1019,554,78,-2,78.02563681252464,178.53119928561418,0,980.0,555.0,-1,0.95703125,0.9487179487179487
74,448,418,696,422,248,4,248.03225596683993,0.9240453527727062,0,572.0,420.0,-1,0.55859375,0.717948717948718
75,500,357,658,357,158,0,158.0,0.0,0,579.0,357.0,-1,0.5654296875,0.6102564102564103
76,156,558,220,554,64,-4,64.1248781675256,176.42366562500266,0,188.0,556.0,-1,0.18359375,0.9504273504273504
77,394,424,431,424,37,0,37.0,0.0,0,412.5,424.0,-1,0.40283203125,0.7247863247863248
78,226,469,343,398,117,-71,136.8575902169843,148.7490489834193,2,284.5,433.5,-1,0.27783203125,0.7410256410256411
79,817,571,944,571,127,0,127.0,0.0,0,880.5,571.0,-1,0.85986328125,0.976068376068376
80,759,521,946,514,187,-7,187.13097017864254,177.8562391347766,0,852.5,517.5,-1,0.83251953125,0.8846153846153846
